A: 	zo'n driehoekig staafje 
A: 	en dan zo'n kegel bovenop en dan nog een rechthoek 
A: 	okee dat zijn acht 
B: 	ja deze die die die vinden ik ook wel grappig 
B: 	ik beseffen me dat ik daarstraks hebben ik de hebben ik deze en een ander halen ik een beetje door elkaar 
B: 	maar ik hebben bij deze moeten ik weer denken een beetje aan een eineus 
B: 	alleen dan deze keer zeggen maar dan hebben die geen verticaal lat erdoorheen 
B: 	nee die hebben gewoon gewoon alleen de neus zeggen maar aan de rechterkant 
B: 	eineus 
B: 	en bovenin het kop twee ding erin zitten 
B: 	een lat die gewoon een latvorm zijn en ja iets wat je misschien als één van soort van pen zullen kunnen beschouwen 
B: 	beetje diagonaal staan die erin 
B: 	ook een heel goed ja ja 
B: 	ja hebben je bee een idee welk dat zijn 
A: 	deze zijn met zo'n met de ei met het ei aan de voorkant maar dan zonder die stang erdoorheen 
A: 	dus met zo'n rechthoek erbovenop en een kegel erbovenop 
A: 	ja zo'n dinge uit ja 
B: 	ja 
B: 	doorheen 
B: 	ja ja ja 
B: 	alright dan gaan ik voor j 
A: 	ja 
A: 	ja dat zijn acht 
B: 	het zijn het eineuskopje 
B: 	zonder een horizontaal stang erdoorheen 
B: 	maar met twee object bovenin 
B: 	en aan de linkerkant een uitsteeksel 
B: 	ja 
A: 	dit zijn met zo'n bal ervoor maar dan niet die een waar die staaf doorheen gaan maar dan met zo'n rechthoekje bovenop en die kegel erbovenop 
A: 	ja dat zijn zeven 
A: 	dat zijn met die met die bal ervoor en dan een kegeltje bovenop en een rechthoek bovenop 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij e 
B: 	we hebben ons welbeken kop met een eineus 
B: 	een la bovenin een omgekeerd stropdas 
B: 	ja waar zijn je 
B: 	ja dat zijn j 
