B: 	ik vinden dit best wel op een mens lijken 
B: 	een kop en dan twee ja afkappinkje aan de zijkant naar buiten die als oor kunnen dienen een staafje rechtsvoor 
B: 	met een dubbel onderop en een ja vierkant langwerpig dinge bovenop 
B: 	kijken maar naar dat vierkant langwerpig dinge bovenop 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	die ja 
A: 	ja 
A: 	ja 
A: 	jaja 
A: 	ja 
A: 	ja soort zo'n ding zijn wat aan de zijkant van een raket zitten 
A: 	zo'n soort ja ok dat zijn nummer achten bij mij 
B: 	een raket 
B: 	ja ja ja ja ja met dat vierkant dinge bovenop 
B: 	ja 
B: 	een hanenkam 
B: 	hanenkam vinden ik een goed 
B: 	E 
B: 	hanenkam 
B: 	oeh oeh 
B: 	met de met de neus en de oor 
B: 	ja E 
A: 	ja dit zijn met die balk bovenop en die twee omgekeerd beker aan de zijkant 
A: 	en zo'n v' met een soort klein buisje er bovenop 
B: 	de hanenkam 
A: 	even zoeken ja en die driehoek aan met dat staafje er op aan de voorkant ja dat zijn nummer één 
B: 	ja 
A: 	dit zijn met die balk bovenop en die twee omgekeerd beker aan de zijkant 
A: 	ja zestien 
A: 	dit zijn met die twee omgekeerd kop en die balk bovenop 
