A: 	deze hebben deze mok hebben rechts en onder hebben hij een soort van 90 graad uitsteeksel 
A: 	die zo krom lopen 
A: 	en bovenop hebben hij een een ruit met twee uitsteeksel aan de zijkant 
B: 	het lijken wel een zeef 
B: 	een voetstuk en 
B: 	ja ik zien hem al dat zijn i bij mij 
A: 	ja drie 
A: 	ja een ruit bovenop achter en de twee verrekijker aan de zijkant 
A: 	piratenverrekijker 
A: 	piratenverrekijker 
A: 	vijf 
B: 	deze deze vinden ik moeilijk deze hebben twee arm rechts 
B: 	één kromme en één recht 
B: 	en een vierkan met een stok erdoorheen op zijn hoofd 
B: 	beetje aan de linkerkant 
B: 	sorry een plat vierkan met een 
B: 	ja een soort mutsje met een 
B: 	ja 
B: 	ja met zo'n stok erdoorheen zeggen maar ja 
B: 	en hij staan op iets 
B: 	ja 
A: 	een rui bovenop en piratenverrekijker links links en rechts 
A: 	negen 
B: 	ja 
B: 	ja 
B: 	dat zijn j 
B: 	dit zijn die met het knot 
B: 	en twee arm rechts en een kromme voet zo 
B: 	ja 
B: 	o 
B: 	dit zijn die met het knot 
B: 	en twee arm rechts en op de voet 
B: 	de kromme voet 
