B: 	je hebben het beker en om het beker zitten een soort van kampbankje of een een kampvuurbank heen 
B: 	en op het kampvuurbank staan een soort van cakevorm 
B: 	oké 
A: 	ja waar dat bak ook op staat 
A: 	ja 
A: 	dat zijn zestien voor mij 
B: 	ja 
B: 	letter P 
A: 	dit zijn degeen met het ja met het tafel eromheen met dat bak 
B: 	het bak met het cakeblik erop 
A: 	ja dat zijn veertien voor mij 
B: 	letter N 
A: 	dit zijn die met de tafel met het bak erop 
B: 	het kampvuurbank met het cakeblik 
A: 	moeten hem even zoeken ja dat zijn tien voor mij 
A: 	dit zijn die met de tafel eromheen en dat bak erop 
B: 	jij moeten 
B: 	yes 
B: 	letter D 
