B: 	deze hebben een plaat erdoorheen aan de een beetje aan de bovenkant en twee poo eronderuit 
B: 	vinden ik het lijken 
B: 	en er staan een soort van omgekeerd driehoek afronden bovenop 
B: 	ja dat vinden ik ook een picknicktafel 
B: 	ja 
A: 	jou beurt 
A: 	oeh 
A: 	ja maar kalm dat kunnen ik ook dus we kunnen op dezelfde pagina zijn 
A: 	vooral Battlefield drie dat zijn dat zijn ziekelijk te wild 
A: 	maar hebben het zeggen maar zo'n zo'n zo'n langwerpig ik weten niet naar het dak toe zeggen maar 
A: 	of dat niet 
A: 	ja 
B: 	oké 
B: 	ja nou dit zijn P laugh 
A: 	hebben het lijken het misschien ook op zo'n zo'n tafel of zo met die pot 
A: 	twee oké 
A: 	ja oké dan zijn we op dezelfde Battlefieldpagina 
A: 	zestien 
B: 	oké ik hebben de picknicktafel 
A: 	ja de de Battlefield aK47 
B: 	oké 
B: 	ja even zoeken 
B: 	ja dat zijn N 
B: 	ik hebben een picknicktafel 
A: 	waar zijn van mij ? hier 
A: 	veertien 
B: 	ja 
B: 	ja dat zijn D 
A: 	de Battlefield 
A: 	AK47 standaard 
A: 	weer veranderen 
A: 	ja 
A: 	tien 
A: 	die Battlefield 
A: 	pistool 
