B: 	dan deze hebben een verrekijker naar link 
B: 	lijken op een verrekijker twee van die 
B: 	nee 
B: 	twee van die vierkanten een soort vierkant blok verrekijker 
B: 	ja met die champignon op zijn dak en de plat ding aan de voorkant 
B: 	ja 
B: 	dat zijn bij mij G 
A: 	ja 
A: 	ja 
A: 	ja dat zijn bij mij nummer twee 
A: 	die zijn wel duidelijk 
B: 	dit zijn de vierkant verrekijker naar links met de champignon op het hoofd en de het plat vierkant aan de voorkant 
B: 	waar zijn je 
B: 	ja en het vlak aan de voorkant 
B: 	dat zijn bij mij D 
A: 	dan hebben we de 
A: 	hoe noemen je die net ook alweer ? het koffiekopje met een vierkant rechtopstaand aan de voorkant 
A: 	aan de linkerkant steken er twee breder worden blok aan 
A: 	met de spijker ding aan de bovenkant 
A: 	yes 
A: 	de de robotarmen 
A: 	met de spijker 
B: 	de verrekijker naar links en de champignon op het hoofd 
A: 	ja 
A: 	nummer negen 
B: 	het vlak aan de voorkant 
B: 	even kijken waar staan die ? dat zijn B 
A: 	de robotarmen 
A: 	de spijker 
A: 	robotarmen 
A: 	robotarmen ja hebbes 
A: 	nummer één 
A: 	de robotarmen 
