B: 	deze hebben een soort van twee uitlaat vierkant uitlat aan de linkerkant 
B: 	dan voorop een soort vierkant 
B: 	en bovenop een stok met daarop een rond 
A: 	okee ja dat zijn tien 
B: 	ja n 
B: 	deze hebben soort van twee uitlaat aan de linkerkant met blok die steeds klein worden 
B: 	en voorop een vierkant 
B: 	ja c 
A: 	even kijken dit zijn de kopvorm met de spijker er bovenin inslaan 
A: 	het vierkant aan de voorkant en de twee blokkentorens link 
B: 	deze hebben die twee uitlaat met de blok aan de linkerkant en voorop een vierkant 
A: 	ja 
A: 	vierkant aan de voorkant 
A: 	dat zijn vijf 
B: 	l 
A: 	even kijken die met de spijker Erbovenin en de twee blokkentorens aan de linkerkant 
A: 	ja 
A: 	aan de 
A: 	en dan het vierkan ervoor 
A: 	dat zijn twee 
A: 	dit zijn die met de spijker Erbovenin en de twee blokkentorens 
A: 	link 
A: 	yes 
