B: 	een bakje ? of zo ? of 
B: 	kunnen het ik weten niet kunnen het zijn dat het misschien een beetje op een een kruiwagen lijken ? als je als er zeggen maar een wiel aan zullen zitten ? of zo 
B: 	ik weten niet ik denken dat ik het associeren met een kruiwag maar ik misschien denken jij doen jij dat niet 
B: 	nee ik denken dat het wel die zijn 
B: 	lopen er zeggen maar als het zijn zo'n balk omheen en daaraan zitten staaf 
B: 	zeggen maar aan de linkerkant zitten een balk en aan de rechterkant lopen ook weer een balk ervoor en aan die balk zitten twee staaf 
B: 	nee kijkgen als je dat zeggen maar gewoon dat rond ding hebben wat overal zitten dan lopen er zeggen maar zo'n balk aan die kant langs en aan de voorkant en daaraan zitten twee van die staaf 
B: 	nee ? ok nog een keer 
B: 	ja 
B: 	o ja 
B: 	ja 
B: 	ja 
B: 	zitten een beetje een hoed op 
B: 	ok ja en aan de onderkant zitten nog zo'n dinge ok dan zijn het I 
A: 	ja hierin zijn eigenlijk een isteken verwerken 
A: 	dus weten je wel ? één plus ja die en dan 
A: 	ja zo'n hoedje en dan 
A: 	ja 
A: 	ja die 
B: 	ok ja dit zijn weer dat ding met twee van die dinget en zo'n beetje zo'n hoedje daar bovenop 
B: 	ja 
B: 	ah ja maar niet die piramide 
B: 	ok dan zijn het M 
A: 	ah oké dat zijn nummer twee 
A: 	dit zijn met dat isteken 
B: 	o ja dit zijn met dat zeggen maar hoedje geen piramide met twee van die ding die zo steken 
B: 	ja 
B: 	ja dat zijn F 
B: 	o dit zijn met dat driehoekje niet de piramide maar met die twee dinget 
A: 	zijn nummer negen 
A: 	dit zijn met het isteken 
A: 	dat zijn nummer zes 
