B: 	een omgekeerd bloem ja ik weten welk je bedoelen dat zijn bij mij I 
A: 	oké ik hebben nu een bovenop zitten een driehoek waarvan het top eraf zijn snijden 
A: 	en rechts zitten twee staf zeggen maar twee rechthoe 
A: 	en link zitten een staaf met twee puntig uiteinde en nog een soort van uitstekend buis 
B: 	deze hebben twee van die streepjes naar rechts en een soort afgekapte driehoek erbovenop 
B: 	met dat hoed bovenop soort van 
B: 	dat zijn bij mij M 
A: 	ja ik hebben hem denken ik 
A: 	ja dus zeggen maar links zijn die staaf met die twee punt 
A: 	en bovenop de afgekapte piramide 
A: 	en rechts de twee ding 
A: 	ja 
A: 	oké die zijn dan nummer twee 
A: 	dit zijn die een met die afgehakte piramide bovenop en rechts die twee rechthoeak en link die 
A: 	rechthoek met die twee puntig uiteinde en nog zo'n buis zeggen maar daaruit 
B: 	dit zijn weer met die twee streepjes naar rechts 
B: 	dat zijn bij mij F 
B: 	die met die streepjes naar rechts 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn die een met die afgekapte piramide en rechts twee van die rechthoe en link dat staafje met die punt 
A: 	ja 
A: 	dat zijn nummer zes 
