B: 	yes 
B: 	ik hebben een het enig object met een draai erin en een voe en het voetje zijn of driehoekig 
A: 	met die driehoek 
B: 	in principe hebben die een 
B: 	ja 
A: 	en dan drie dinget 
A: 	twee vierkant en een 
A: 	oké dat zijn nummer vier 
A: 	dit zijn jou wijnglas die met die driehoek en dat en die twee vierkant en 
B: 	ja 
B: 	dat zijn bij mij nummer A 
A: 	waar staan die 
A: 	we we zijn er zo snel weer ah ja daar 
A: 	nummer tien 
B: 	ik hebben degeen met de draai erin die op een driehoekig voe staan 
A: 	ja ik moeten zeggen 
A: 	het wijnglas 
B: 	ah 
B: 	ja dat zijn L 
A: 	ja vier 
B: 	ik hebben degeen met een draai erin 
B: 	met een balkje 
B: 	dus de de met een draaivoet en dan een vierkan boven vierkantje in het midden en dan een soort van trapezium 
A: 	het wijnglas 
B: 	ja 
B: 	F 
