B: 	ja ik hebben er hier zo één staan hebben een soort houder onderin 
A: 	ja 
B: 	tenminste hij staan op een soort cilinder of zo aan de zijkant een uitsteeksel je zien een half half cirkel net 
A: 	ja 
B: 	boven de bovenkant uitkomen en daarnaast zitten een soort ovaal slash ei aan de bovenkant 
A: 	even kijken horen 
A: 	hebben die er iets bovenop zitten 
B: 	sorry 
B: 	ja een soort inderdaad koker en een staaf steken horizontaal uit 
B: 	maar hij staan ook op een soort houder of zo dat de rest niet hebben 
A: 	even kijken horen 
A: 	oké 
A: 	dit zijn echt moeilijk nog best wel 
A: 	oké 
B: 	ja één één 
A: 	op een op gewoon een één plat iets of zijn het een kromme waar die op steunen 
B: 	nou hij zijn niet per se het zijn het zijn wel het zijn even breed als de mok maar niet aan al kant 
B: 	ja de bovenkant zien je zo'n half cirkel en en en zo'n ei vorm en aan de horizontaal steken er nog een soort cilinder of zo uit 
A: 	hebben die een soort van deksel 
A: 	zeggen maar dat dat er een soort van rond achter zitten 
A: 	ja 
B: 	ok 
A: 	eigenlijk bestaan die uit één twee drie vier vijf deel ongeveer 
A: 	oké 
A: 	ja nee dan weten ik wachten dan moeten ik het zeggen 
A: 	oké dat zijn dertien 
B: 	wachten even 
B: 	half cirkel en pluim bovenop zijn hem even aan het zoeken hoor even kijken wat zeggen je nou 
B: 	o 
B: 	met die dinget die zo aan de zijkant eruit komen 
B: 	ik zitten hem eens 
B: 	pluimp bovenop o ja en die die houder zeggen maar die soort houder ja dat zijn dan O 
A: 	wat denken jij dat dit ook weer zijn 
A: 	dit zijn met die basis en met een soort van deksel 
A: 	en ook met zo'n met zo'n staafje waar vogel op kunnen zitten 
A: 	en met een ja ja ik weten eigenlijk niet zo goed 
A: 	ja 
A: 	ja ja 
B: 	ok ja dit zijn weer die die allereer die met die houder dat zeggen maar niet een plateau zijn maar waar dat hij wel nog ergens op staat 
B: 	en dan Bovenin hebben je hebben je de die die dat ovaal of dat ei met dat half rond dat er boven komen en dan nog dat ding dat uitsteken zo 
A: 	even zoeken zoeken 
A: 	ja 
A: 	dat zijn acht 
B: 	ja en dan dat lijken een soort dinge dat er in zitten en dat half cirkelt 
B: 	ja dat zijn dan C 
A: 	dit zijn weer die wat een panne kunnen zijn met die deksel 
A: 	en die buttplug 
B: 	ja dit zijn weer diegene die op een plateau staan maar niet dat smal plateau hij hebben zeggen maar een soort houder of zo er onder nog een soort ja ovaal bovenin die half cirkel die uitsteekken en dan nog zo'n cilinder aan de zijkant 
B: 	ja 
B: 	ja 
A: 	ja dat zijn zeven 
B: 	dat smal ding met dat half cirkeltje er bovenop 
B: 	ja door die neus ja dat zijn dan C 
B: 	nou dat zijn hem opmerken je merken toch wel ja in een keer gewoon ook gewoon van die term van elkaar gaan overnemen en zo 
A: 	dit zijn weer dat deksel 
A: 	dat panne 
A: 	nou overleven 
