B: 	ja deze hebben eigenlijk een soort plateau op zich heen en het zijn niet onderop het zijn net iets veel richting het midden 
A: 	in het midden zo'n plaat erdoorheen zeggen maar 
B: 	en er eindigen een soort glijbaan ook op dat plateau of zo twee van die staaf bovenop 
A: 	oké 
A: 	dat zijn bij mij nummer zes 
A: 	ja 
A: 	oké 
B: 	ja 
A: 	druk ik op geel 
B: 	ja 
B: 	ja dat zijn dan C 
B: 	dit zijn weer dat plateau waar die die glijbaan of zo lijken het wel een beetje op uitkomen twee van die staal bovenop en dan nog zo'n ding met een hoek hoek erin 
A: 	ik hebben nu één met die twee staaf erboven en zo'n plaat door het midden 
A: 	ja zo'n slurf of zo 
A: 	staafjes erop 
A: 	ja 
A: 	en die slurf aan de voorkant zeggen maar 
A: 	nummer dertien zijn dat bij mij 
B: 	ja ik zijn hem even aan het zoeken ja 
B: 	helemaal goed ja dat zijn dan J 
A: 	die met die twee uitsteeksel erboven en die plaat erdoorheen 
A: 	ongeveer in het midden onder liggen die bij mij 
B: 	nee bijna verkeerd knop 
B: 	ja dit zijn weer dat plateau met die soort glijbaan die twee staaf bovenop en ja 
B: 	ja dat zijn N van Nico 
A: 	met die plaat door het midden 
A: 	nummer negen 
A: 	die staan bij mij ongeveer in het midden boven met twee van die antenne en zo'n plaat erdoorheen zeggen maar en die slurf 
