A: 	dit zijn het figuur waar een soort van piramide of een driehoek bovenop staan 
A: 	ja precies en een soort van cirkel onderaan 
B: 	ja 
B: 	de driehoek en 
B: 	oké J 
A: 	ja zijn bij mij nummer zes 
B: 	ah dit zijn met de driehoek op zijn hoofd 
B: 	en 
B: 	wiele onder 
B: 	ik weten niet of dat een wiele zijn 
B: 	ja er zijn één rond dinget eronder en een 
B: 	hebben ik een raar best wel groot ding aan de rechterkant 
B: 	ja 
A: 	ik hebben die met die piramide bovenop 
A: 	of het driehoek 
A: 	ja 
A: 	zo'n blok rechts 
A: 	beetje in het midden 
B: 	ja de feestmuts 
B: 	oké E 
A: 	ja 
A: 	nummer tien 
B: 	die een met het feesthoed 
A: 	ik hebben die met dat driehoekje bovenop 
B: 	oké G 
A: 	nummer tien 
B: 	het feesthoed 
