B: 	het zijn die met met zo'n neus aan de voorkant 
B: 	en dan zonder 
B: 	wat 
B: 	ja 
B: 	en dan hebben die een soort van kegel op zijn hoofd en nog een plank 
B: 	ja 
A: 	ja 
A: 	ja één zijn veel een soort van fancy en de ander zijn veel een rechthoek of zo 
A: 	ja 
A: 	ik hebben hem als dik neus 
A: 	ja 
A: 	en dan zitten komen er een soort van driehoek staaf uit zijn oor of zo 
A: 	ja dat zijn bij mij veertien 
B: 	waar één van een kegel zijn 
B: 	ja N 
A: 	bij mij zijn dit die een waarvan we hebben zeggen die heel dik neus met die twee soort alsof er twee dinget in staan een soort van fancy ding en dan met dat driehoekig punt wat eruit komen 
A: 	ja 
B: 	het zijn die met die neusachtig iets en dan hebben die twee uitsteeksel erbovenop en één aan de zijkant 
A: 	ja 
A: 	nummer negen 
B: 	ja G 
B: 	het zijn die met die neus en die twee uitsteeksel op zijn hoofd 
B: 	ja ik weten welk je bedoelen even 
A: 	dit zijn die een met die groot neus en die twee één fancy lepeltje en één weinig fancy lepeltje wat erin steken 
B: 	ja vinden 
B: 	J 
A: 	ja nummer vijf 
A: 	dit zijn die een met de dik neus en die twee fancy lepel of de een fancy lepel en de ander 
