B: 	ja deze hebben eigenlijk heel weinig uitsteeksel 
B: 	hij hebben een soort van neus linksonder 
B: 	en bovenop liggen een blok 
A: 	maar wat zeggen wat zeggen je in het begin 
A: 	ah 
A: 	ja en dan een de neus zijn een staaf 
A: 	wat zitten er bovenop het hoofd 
A: 	maar dat zijn een één een een langhoek een 
A: 	plat staaf 
A: 	ja okee dan zijn het even zeker weten vijf 
B: 	h 
B: 	deze hebben een neus linksonder en het blok bovenop zijn hoofd 
B: 	met een heel raar vormp aan de rechterkant 
B: 	c 
B: 	de neus linksonder en het balk horizontaal bovenop 
A: 	deze hebben een hanekam 
A: 	ja ? okee 
B: 	à 
A: 	ja 
A: 	dat zijn twee 
A: 	deze hebben een hanekam 
A: 	en uitlopen oor 
A: 	even zoeken een 
A: 	hanekam 
