B: 	oké ja ik beschrijven het als Pippi Langkous het hebben aan beide kant drie kraalt laten maar zeggen die uit het kop komen 
B: 	en dan nog een vierkant eronder en een rond ding met een haal aan de voorkant 
A: 	twee groot ja 
A: 	ok nummer vijf 
A: 	ja dit zijn eigenlijk hij staan op een plateau eigenlijk met van draaien ding bovenin 
A: 	er voor voor zich ja ja 
A: 	ja 
A: 	ja 
B: 	ja de met de drie 
B: 	yes 
B: 	J 
B: 	pinokkio Pippi Langkous sorry Pippi Langkous Pippi Langkous 
B: 	Pippi Langkous 
A: 	ja 
A: 	met draaiding met die voor die ronde ja dat zijn dan nummertje elf 
B: 	ja P 
A: 	ja dit zijn die eigenlijk die op zo'n plateau staan en die eigenlijk doorboren worden door zo'n ja raar het ruit achtig ding zeggen maar met met dat rond maskertje voor ja 
A: 	ja 
B: 	Pippi Langkous 
A: 	ja dus die doorboren worden weer ja ja 
A: 	dat zijn dan nummertje negen 
B: 	Pippi Langkous L 
A: 	ja dit zijn die die op weer zo'n plateau staan en die er eigenlijk door doorboren doorboren worden en aan de voorkant zo'n ronde hebben en aan nog plateau nog een hangertje 
