B: 	zijn aan de voorkant zitten een cirkeltje er zitten een soort van 
B: 	aan allebei de kant drie aan elkaar geplakken diaman 
B: 	oké 
A: 	ja 
A: 	ja met twee van die 
A: 	ja van die haart 
A: 	ja met zo'n rond 
A: 	ja 
A: 	dan zijn het vijf 
A: 	het clown met die haart en dat rond neusje 
A: 	met die vierkant eronder 
A: 	tenminste ik moeten aan een clown denken 
A: 	ja 
B: 	ja 
B: 	oké dat zijn J 
A: 	het clown ja 
A: 	dat zijn elf 
A: 	het clown 
A: 	met die wokkel 
B: 	dit zijn de Pippi Langkous 
A: 	dat zijn negen 
B: 	ja dat zijn P 
B: 	ja 
A: 	het clown met de wokkel 
B: 	Pippi Langkous 
B: 	en dat zijn L 
