A: 	dit zijn weer de bak en hij leunken nu op een op één op een pilaar hij hij leunt naar achter toe 
A: 	en er zitten een buis doorboren 
A: 	aan de linkerkant zitten , als je als je de bak hebben , zitten aan de linkerkant daarvan zitten de leuning eigenlijk waar hij tegenaan leunlen 
A: 	er zitten één dinge aan de rechterkant en de meerderheid zitten aan de linkerkant van het voorwerp , van de bak 
A: 	ja 
A: 	hij leunt naar links en het zijn 
A: 	het zijn eigenlijk een bak , zo'n bak , en dan ja ik weten niet dit mogen ook toch , zijn communiceren 
A: 	dit zijn de leuning , zo'n plaat ertegen , en dan staan de bak leunlen daar tegenaan 
A: 	of staan ertegenaan 
A: 	de bak staan recht , maar de het het pilaar staan 
A: 	ja 
A: 	maar 
A: 	wat zien 
A: 	ja zijn één zijn een vierkant 
A: 	zijn een vierkant en de bak 
A: 	ja 
A: 	ja 
A: 	nee volgens mij zijn dat een ander dit zijn een dit zijn de bak 
A: 	dan hebben je aan de linkerkant een soort van half dinget 
A: 	met een recht plaat 
A: 	en er zitten onder de onder eigenlijk de plaat zitten een een een paal 
A: 	die erdoorheen gaan en die naar rechts uitwijken 
A: 	die naar rechts erdoorheen gaan 
A: 	ik zullen even kijken misschien zien je iets ander en zijn ik dat nu ook aan het beschrijven 
A: 	ja 
A: 	ja als jij 
A: 	ja 
A: 	ja het zijn de bak 
A: 	anders laten we die pilaar even weg , het zijn de bak en dan zitten er een aan de linkerkant een schuin paal en dan een recht vierkant 
A: 	daar ja 
A: 	ja 
B: 	hebben hij aan de rechterkant twee staaf 
B: 	een soort gieter 
B: 	oké ja dat zijn dat zijn K 
A: 	ja dat zijn diegene waar we net heel veel moeite mee hebben 
A: 	nummer vijfteen 
A: 	zijn dat 
B: 	dit zijn die soort gieter 
B: 	links en rechts ja een staaf met een bolle eraan 
B: 	ja en daar achter 
B: 	ja 
A: 	waar we nog heel veel moeite mee hebben , met uh , de bak dat leunlen 
A: 	die doorboren worden door de pilaar 
A: 	met het vierkant aan de linkerkant 
A: 	nee geen ei nee 
A: 	ja 
B: 	ja 
B: 	en een vierkant erachter achter ja B 
A: 	ja nummer achten 
B: 	dit zijn de gieter 
B: 	links en rechts ja 
B: 	ja links en rechts twee van die 
B: 	ja een bolle 
B: 	zo'n 
B: 	nee 
B: 	deze hebben links en rechts twee ding en een rond eraan 
B: 	ja 
B: 	ja 
A: 	zijn weer die een waar we ontzettend moeilijk over doen 
A: 	misschien maken het dat makkelijk die leunlen 
A: 	die moeilijk zijn 
A: 	die leunlen naar de linkerkant 
A: 	of op de linkerkant 
A: 	ja 
A: 	nummer vijf 
B: 	oké 
B: 	ballet eraan , ja 
B: 	F 
B: 	de gieter 
B: 	die twee ballet rechts 
B: 	ja twee van die uitsteeksel , links en rechts , zitten een balle aan vast 
B: 	die gieter , 
B: 	ja 
