A: 	ja twee 
A: 	ja 
B: 	ja nou we hebben de de adapter weer 
B: 	ja 
B: 	ja 
A: 	deze hebben een vierkant schijf ervoor en dat spijkert er in en die twee blokkentorens ja 
B: 	ja die 
B: 	ja 
B: 	dat zijn G 
A: 	ja 
A: 	ja 
A: 	negen 
B: 	ja dit zijn die met die twee wolkenkrabber 
B: 	die tegenaan 
B: 	ja ja ja 
A: 	vierkant scherm aan de voorkant spijker er in en die twee blokkentorens 
B: 	ja 
B: 	D 
A: 	twee blokkentoren link 
A: 	ja één 
B: 	dit zijn die twee wolkenkrabber 
B: 	ja 
A: 	vierkant scherm aan de voorkant Spijker en die twee blokkentorent 
B: 	B 
