B: 	deze hebben een plaat erdoorheen aan de een beetje aan de bovenkant en twee poo eronderuit 
B: 	vinden ik het lijken 
B: 	en er staan een soort van omgekeerd driehoek afronden bovenop 
B: 	ja dat vinden ik ook een picknicktafel 
B: 	ja 
A: 	ja ja ik snapen wat je bedoelen dat zijn een soort van ontbijtopbedtafel 
A: 	ja ja ja 
A: 	ja 
A: 	zestien 
B: 	oké 
B: 	ja nou dit zijn P laugh 
A: 	dit zijn eigenlijk weer dat ontbijtopbedtafel 
A: 	met dat bak erop 
B: 	oké ik hebben de picknicktafel 
A: 	ja nou dat zijn nummer veertien 
B: 	oké 
B: 	ja even zoeken 
B: 	ja dat zijn N 
B: 	ik hebben een picknicktafel 
A: 	dit zijn eigenlijk dat ontbijttafel weer met dat bak erop 
A: 	ja even kijken waar die zitten ja dat zijn nummer tien 
B: 	ja 
B: 	ja dat zijn D 
A: 	ja dit zijn het ontbijttafel weer met dat bak erop 
