A: 	van die deze zo'n kralenketting 
A: 	ja dat hebben zo hebben ik hem 
A: 	ja 
A: 	ja wachten dat zijn nummer vijf 
B: 	het zijn er zeggen maar één en die hebben twee soort van kralensnoert rechts en link 
B: 	echt de veel typisch die er zijn eigenlijk en dan rond schijf aan de voorkant 
B: 	precies ja 
A: 	of moeten ik drukken 
A: 	ja ik moeten wel drukken 
A: 	ja ik hebben diegene met die met die bollet met die kra zeggen maar met die 
B: 	dat 
B: 	dienblad 
B: 	ja J 
A: 	ja ja 
A: 	dat zijn elf 
A: 	dit zijn diegene met die staart of kralenketting of wat je het willen noemen 
B: 	het zijn zegmaar met die kralensnoert op dat dienblad 
B: 	B 
A: 	ja ja negen 
B: 	met die kralending op dat dienblad 
A: 	dit zijn degeen met de staart of ketting 
B: 	L 
