A: 	ja 
A: 	dan weer met die balonnet en dan één groot er in en één groot aan de zijkant en dan zo'n toren van vierkant aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	het zijn maar zeggen maar dat ding dat aan één kant uitsteken en dat daarboven zijn hetzelfde zeker 
B: 	ja 
B: 	ja ja 
B: 	oké 
B: 	dat zijn E 
A: 	en aan de ander kant hebben hij een armpje of zo 
A: 	ja ok elf 
B: 	ja deze zijn met die ja met dat een ding bovenop dat ook aan de zijkant zitten zeggen maar 
B: 	zeggen maar dat dat eerst dan smal zijn en dan breder worden en dan weer smal worden 
B: 	en diezelfde zitten ook aan de zijkant 
B: 	en dan aan de ander één van de ander zijkant het zijn net of daar een wolkenkrabber doorheen zijn Geboord 
B: 	ja ja ja 
A: 	deze hebben die twee ballonnetje één op de bovenkant en één aan de zijkant en dan blokkentoren 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja die cactusachtig wolkenkrabber 
B: 	J 
A: 	ja negen 
B: 	ja dit zijn die met die één wolkenkrabber zeggen maar 
B: 	en dan met die cactusachtig ding 
A: 	twee ballonnet één aan de bovenkant één aan de zijkant en dan blokkentoren aan de zijkant 
A: 	blokkentoren vier 
B: 	die 
B: 	ja 
B: 	ja 
B: 	B 
B: 	met die een wolkenkrabber 
B: 	ja 
