B: 	ik hebben een mokvormig basisding met een soort van ja hij lijken driehoekig te zijn 
B: 	ik weten niet helemaal precies hoe de vorm heten maar dan zijn al hoek afronden er zijn een rechthoekig balk bovenop 
B: 	dan hebben die een klein cilinder en een soort gleuf lijken het wel waar de cilinder dan recht op staat 
B: 	dus in principe bovenop een balk 
B: 	hij lijken enigszins schuin te staan 
B: 	boven op het kap 
B: 	ja precies 
B: 	dan hebben je iets wat enigszins op een driehoek lijken met dan de bovenste punt eraf 
B: 	en aan de rechterkant zitten dan een cilindervormig ding en gleufje 
B: 	ja 
B: 	ja 
A: 	even denken hoor ja ik zitten even te ja 
A: 	op het kop 
A: 	ik weten welk je bedoelen maar ik kunnen wachten even 
A: 	ja 
A: 	de en en en hij zijn klein dan het kop het balk 
A: 	oké het zijn niet dat ding met ja een soort balk of zo met een met één want er zijn er één die het ook zullen maar hij liggen er echt bovenop het balk zeggen maar 
A: 	ja 
A: 	en die van klein naar groot worden 
A: 	zeggen maar een toe van een theekan of zo zeggen maar 
A: 	ja 
A: 	ja ja 
A: 	dan zijn dat nummer acht 
A: 	dit zijn dat kop met dat balkje erop 
A: 	dat koffietui eraan en aan de linkerkant dat heel smal rond dingetje met 
A: 	ja 
B: 	het 
B: 	ja waar een cilinderdinge op staat 
B: 	ja dat zijn bij mij E 
A: 	ja 
A: 	dat koffietui en rechts dat dun cilinder en het schep 
A: 	dat zijn nummer één 
B: 	ik hebben de basisvorm met daarbovenop een balkje 
B: 	en dan de daar aan de rechterkant die gleuf weer met een cilinder klein cilindert daarbovenop en aan de rechterkant dat ja wat jij dat limonadedinge 
A: 	het horizontaal balk op het kop het koffietui en het armp 
B: 	uitstekend driehoek 
B: 	even zien 
B: 	ah ja dat zijn bij mij nummer E 
A: 	koffietuitje waar zijn je 
A: 	oké horizontaal balk armpje tui ja nummer zestien 
B: 	ik hebben degeen met een balkje bovenop liggenen 
B: 	het zijn de enig en dan aan de een kant dat cilindervorm met een gleufje en dan 
B: 	yes 
A: 	het koffietuitje het balk aan de bovenkant en het armp 
B: 	ja zijn O 
