B: 	ja 
B: 	J 
A: 	dan deze hebben zo'n triangel of zo'n pyramidevormig iets op zijn hoofd 
A: 	heel scherp 
A: 	en aan de linkerkant hebben hij een mini-arm 
A: 	gaan van dun dan naar dik 
A: 	hebben een heel raar iets hier 
B: 	deze hebben de pyramide bovenop 
A: 	puntmuts 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	ja zes 
B: 	ja b 
A: 	deze hebben zo'n heel puntig ding boven 
A: 	en hebben dat rond hier beneden 
A: 	en een klein armpje van dun naar dik 
B: 	dit zijn die met die pyramide boven bovenop 
A: 	puntmuts 
A: 	ja zo 
A: 	dat zijn nummer vijfteen 
B: 	à 
B: 	dit zijn degeen met de pyramide bovenop 
A: 	deze zijn met die puntmuts 
A: 	en met een dun arm naar dik arm 
A: 	puntmuts 
A: 	dat zijn nummer vier 
