B: 	ok deze hebben een soort van groot rond neus een beetje aan de rechterkant aan de linkerkant zitten een soort van 
B: 	driehoek balk er boven in opzitten twee uitsteeksel één zijn een beetje kegelachtig en de ander zijn een ja rechthoek 
A: 	ja 
A: 	zijn dat die vulpen zeggen maar die ik zo hebben noemen 
A: 	ja 
A: 	ik hebben ze allemaal van dat soort gek naam geven 
A: 	dan zijn het veertien 
B: 	ja dat zijn N 
A: 	oké dit zijn degeen die ik altijd noemen met die neus en die vulpen erin 
A: 	ja 
A: 	en die staaf 
B: 	dit zijn met die neus en dan die twee ding bovenop 
B: 	neus zitten een beetje aan de rechterkant 
B: 	ja link ja 
A: 	ja 
A: 	negen 
B: 	ja dat zijn G 
B: 	ja dit zijn met die neus en twee van die ding bovenin en links dat driehoekje 
B: 	ja dat zijn J 
A: 	dit zijn weer met de neus en de vulpen 
A: 	niet erdoorheen steken nee dit zijn zeggen maar van zo'n zo'n zeggen maar vulpen zitten er dan in zeggen maar 
A: 	ja precies 
A: 	even kijken 
A: 	ja dat zijn vijf 
A: 	dit zijn die met de neus en de vulpen in het soort van het bak 
