B: 	oké deze zijn best wel klein hij hebben twee soort ding aan de zijkant laag en een balk bovenop 
B: 	en hij hebben nog aan de voorkant iets waar ook nog een pin uit komen of zo 
B: 	ja die zijn heel simpel 
B: 	nee 
A: 	wachten even een balkje uit en ook weer een balkje 
A: 	een ja ja 
A: 	ik denken aan een kip maar ik snapen wat je bedoelen 
A: 	achten 
B: 	ja en alleen maar zo twee van die ding aan de zijkant en één 
B: 	oké dat zijn E 
B: 	ik hebben die heel compact met zo de balk op de bovenkant en twee van die ding aan de zijkant en één zo'n 
A: 	waarvan jij zeggen dat het een saptap zijn en ik zeggen dat het een kip zijn 
B: 	ja 
B: 	dat zijn E 
A: 	waar staan die 
A: 	één 
B: 	ik hebben die heel compact met die balk aan de bovenkant 
B: 	en zo die twee klein uitsteeksel 
A: 	dit zijn de kip en de Watertap 
B: 	ja even zoeken 
B: 	ja dat zijn O 
A: 	zestien 
A: 	dit zijn de tap en de kip 
