B: 	oké 
B: 	even kijken 
B: 	ja 
B: 	ja met een hoek erin dat uitsteeksel 
B: 	ja en die balk zijn eigenlijk gewoon los 
B: 	ja oké 
B: 	dan zijn het d 
A: 	boven op het kop liggen bij mij weer zo'n ei 
A: 	en aan de voorkant hebben je dan een lang balk die naar beneden steken en nog onder het kop door gaan 
A: 	en aan de zijkant van het kop hebben je een soort van twee arm 
A: 	ja ja ja ja ja 
B: 	oké 
B: 	deze hebben een balk aan de voorkant 
B: 	deze hebben we al hebben de balk aan de voorkant en zo'n bol erbovenop en twee van die arm aan de zijkant 
A: 	ja die die we al een keer hebben hebben 
A: 	ja oké 
A: 	bij mij zijn dat vijftien 
B: 	ja en een bal daarbovenop ja 
B: 	oké dat zijn L 
B: 	dit zijn degeen waar de balk voor staat met twee uitsteeksel en een bol bovenop 
A: 	dit zijn met dat ei erbovenop en dan zo'n lang balk aan de voorkant 
A: 	en twee arm waar in één zo'n knik zitten 
B: 	die een beetje losstaan ja 
B: 	dat zijn J 
B: 	ik hebben diegene waar de balk voor staat en die bol daarbovenop en die twee uitsteeksel 
A: 	zes 
A: 	dit zijn met dat ei bovenop 
A: 	die lang balk aan de voorkant die ver doorlopen en die twee arm 
A: 	met zo'n knik erin 
A: 	dat zijn drie 
