B: 	okee bovenop staan een soort van paddestoel 
B: 	kunnen je hem mee vergelijken 
B: 	en aan de linkerkant zijn twee dezelfde blok die steeds groot blok worden 
B: 	ja 
B: 	steeds breder worden uitsteeksel aan de linkerkant 
B: 	ja 
B: 	ja ja ja ik zien hem p 
B: 	de paddestoel 
B: 	met de met de plaat ervoor 
B: 	en die twee groot worden blok aan de linkerkant 
B: 	ja 
B: 	ja b 
A: 	ja 
A: 	en en bovenop een een staafje met een met een plat 
A: 	ja 
A: 	zeven 
B: 	ik hebben de de paddestoel de Antenne bovenop en het de plaat voorop 
B: 	ja 
B: 	à 
A: 	ja deze hebben een ja soort handvat aan de bovenkant met een plat plat top 
A: 	en aan de voorkant zijn er een vierkant 
A: 	ja 
A: 	ja en twee kubus die steeds groot worden 
A: 	ja nummer tien 
A: 	deze hebben vierkant beetje rechts van het midden en twee kubusvormig uitsteeksel aan de linkerkant die steeds groot worden 
A: 	ja 
A: 	en twee kubusvorm ja 
A: 	nummer drie 
A: 	deze hebben een vierkant rechts aan de voorkant een beetje 
A: 	en er zijn twee uitsteeksel met die kubus die steeds groot worden 
