B: 	ja deze hebben eigenlijk bovenop liggen er een soort een een een staaf of een blok liggen er echt bovenop liggen 
B: 	en aan de zijkant steken een beetje een één één ja rond vormig ding uit worden steeds groot 
B: 	volgens mij zitten die ook nog aan de ander kant maar dat vallen net ergens achter en dan hebben je een soort veegje met een met een buisje er in die rechtop staan 
A: 	ja 
A: 	ja en zo'n aan de linkerkant lijken een soort van lampenkap achtig erop 
A: 	ja dat zijn acht 
A: 	vinden ik ook al zo niks zeggen 
B: 	ja 
B: 	en bij dat met dat buisje of zo met dat met dat dinge waar het op staan ja dat zijn dan E 
A: 	dit zijn die eigenlijk die nikszeggen met die balk bovenop en die lampenkap 
B: 	ja dit zijn diegene die dat balkje bovenop hebben maar die dan liggen en weer dat dinge aan de zijkant dat rond zijn en groot worden 
B: 	en dan nog dat balkje dat ergens op staat en aan de ander kant ook zoiets 
A: 	en die lampenkap 
A: 	dat zijn één 
B: 	ja 
B: 	ja dat zijn dan E 
A: 	dit zijn weer die saai met die balk en die lampenkap 
B: 	ja dit zijn diegene waarbij die balk plat erop liggen die cirkel aan de zijkant die steeds groot worden die aan beide kant zitten en dan dat buis nog dat er aan vast zitten 
A: 	dat zijn zestien 
B: 	ja 
A: 	dit zijn die saai met die balk en die die lampenkap 
