A: 	ja ik noemen dit kralen 
A: 	oké ja dat zijn nummer vijf 
B: 	hij hebben aan de het hij staan eigenlijk ook gewoon op een op een vierkant op een blauw vierkant 
B: 	ja ja ja aan allebei de kant 
A: 	oké dit zijn die met die kra 
A: 	op die erop staan 
B: 	ja ja ja 
B: 	J 
A: 	dat zijn elf 
A: 	dit zijn die met de krael 
B: 	weer die op een vierkant plaat staan en aan allebei de kant zo'n diaman 
A: 	dat zijn negen 
B: 	ja 
B: 	P 
A: 	dit zijn die met de krael 
B: 	weer die op op dat vierkant staan en met die diaman 
B: 	ja 
B: 	L 
