A: 	dit zijn vinden ik het veel ingewikkeld plaa om te omschrijven maar ik gaan mijn best doen 
A: 	boven op het kop staan een een soort piramide met een spits punt 
A: 	en dan aan de linkerkant zijn een uitsteeksel een beetje in de vorm van een soort oordopje met een vast 
A: 	oké 
B: 	ja 
B: 	ja 
B: 	ik zien hem het zijn J 
A: 	ja 
A: 	nummer zes 
B: 	nee 
B: 	dit zijn weer de een met de piramide met het kop met de piramide erop 
B: 	en dan dat een verrekijkerachtig uitsteekselt uitsteekseltje link 
B: 	en nog een groot blok ervoor 
B: 	of iets wat ervoor door moeten gaan 
B: 	oké 
A: 	dit zijn de tovenaar 
A: 	met zijn gek neus 
B: 	ja 
B: 	ja dat verrekijker 
B: 	zijn E 
A: 	tien 
B: 	het zijn dus die een met de cilinder en de verrekijker 
B: 	ja piramide ja 
A: 	dit zijn de tovenaar 
A: 	tien 
B: 	piramide 
B: 	ja G 
B: 	het zijn de de piramide en de en de verrekijker 
