A: 	er komen een uit een mok komen aan de bovenkant een ruitvormig figuur wat worden doorboren door een aantal vlak achter elkaar 
A: 	en aan de onderkant steken er een staafje uit wat deze vorm hebben zo 
A: 	en hij hebben ja er zitten nog twee ding aan aan en aan de bovenkant zijn het echt een ruit met vier ja met zo'n blok erdoorheen 
A: 	ja ja 
B: 	ja 
B: 	ja 
B: 	dus zeggen maar dus ja die driehoek die staan bovenop 
B: 	ja 
B: 	ja ja ja 
B: 	ja en dan aan de zijkant staan nog aan de linkerkant ja je hebben zo'n lang ding en dan nog een ook weer zo'n soort bliksemschicht toch 
B: 	ja ja 
B: 	ja 
B: 	dan zijn het ja 
B: 	M 
B: 	en dit zijn 
B: 	ja dat zijn die met die twee ja ruiten zeggen maar met een piercing of zo'n ja zo'n bliksemschicht erdoorheen zeggen maar 
B: 	ja 
A: 	ja 
A: 	ja dus een ruit wat erin vallen 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	glijbaan 
B: 	ah 
B: 	I 
A: 	hoe noemen we deze ook alweer ? deze zijn met dat ruit die erin vallen waar al die blok doorheen gaan die blok gaan door dat ruit heen 
A: 	en dan komen er aan de onderkant zo'n staafje uit zo'n buigen staafje en aan de rechterkant zitten nog een armpje of iets wat het ook mogen zijn 
B: 	ja dat zijn die met die ruit 
B: 	ruiten en de bliksemschicht erdoorheen 
B: 	ja 
B: 	ja ja ja 
A: 	ja 
A: 	ja er komen echt zo'n dinge onderuit 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ja 
B: 	D 
B: 	ja wat zijn dit ? die ruit met de bliksemschicht 
A: 	dit zijn met die ruit die erin vallen met die blok erdoorheen 
A: 	onderaan dat ding en dan nog twee uitsteeksel 
A: 	ja 
A: 	ja 
A: 	ja die ruit die erin vallen 
A: 	ja 
A: 	veertien 
