B: 	hebben die bovenop een soort ja of vierkant maar dan kantelen 
B: 	ja met die blok weer in elkaar 
B: 	oké dan zijn het M 
A: 	oeh deze zijn wel deze vinden ik best wel raar het zijn een soort van ja een soort van Pinokkio met een raar hoed met een soort van 
A: 	vierkant hoed met de met iets erdoorheen 
A: 	ja die ander ja Pinokkio met de hand en een soort van ding eronder nog een soort van klein lijf wat eraan zitten 
A: 	ja 
A: 	ja 
A: 	ja die 
A: 	ja die 
A: 	ja 
B: 	deze hebben zo'n dinge daaronder met een knikje 
B: 	en ja zo'n vierkant dat een beetje 
B: 	nee ja klopt 
B: 	even zoeken 
B: 	dat zijn bij mij H 
B: 	deze zijn weer met dat dinge eronder zo 
A: 	ja en die en dat ding aan de onderkant 
A: 	dat zijn numero negen 
B: 	dat zijn bij mij D 
B: 	met dat knikje onderaan 
A: 	dit zijn die heel gek 
A: 	hij vallen een beetje weg trouwens in het scherm zien ik 
A: 	met die met die met dat uitstulping aan de onderkant en dat armpje aan de rechterkant 
A: 	en met zo'n half vierkan op zijn hoofd wat zo doorboord zijn 
A: 	dat 
A: 	pinokkio met eigenlijk Pinokkio met arm 
A: 	en dat ding beneden 
A: 	ja ja ja ja 
A: 	pinokkio met dinge door de hanenkam dat zijn numero elf 
A: 	de Pinokkio met de hanenkam 
A: 	ja 
A: 	dat zijn numero veertien 
