B: 	ja 
B: 	en één of ander buis aan de achterkant 
B: 	oké 
B: 	E 
A: 	nu hebben ik er één die heel vaag zijn 
A: 	hij hebben één een raar figuur bovenop 
A: 	één naar achteren één naar voren en één een beetje naar de zijkant 
A: 	ja het zijn één één hebben zo van drie blok boven op elkaar 
A: 	die staan een beetje naar rechts 
A: 	je hebben een soort soort ovaal die staan een beetje naar links je hebben een ovaal die staan er recht bovenop 
A: 	en je hebben een soort armpje die een beetje naar achter staan 
A: 	ja je hebben dus vier vier ding en ze staan allemaal echt exact een ander richting op 
A: 	en ze raken elkaar niet aan ook 
A: 	aan de rechterkant zijn het vier van die kubus boven op elkaar 
A: 	ja ja ja ja 
A: 	ja ja ja op zich zien ik dat wel ja 
A: 	ja ja 
A: 	ja ja dat zijn hem 
B: 	oké dit zijn weer die blok die steeds groot worden zitten aan de rechterkant 
B: 	en twee vergelijk ding boven en link 
B: 	en een soort van buis naar achteren 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja nummer elf 
B: 	ja precies 
B: 	J 
B: 	dit zijn weer ja die de een met het groot vierkant worden of klein worden 
B: 	aan de rechterkant en dan die ding boven en links en zo'n pijp aan de achterkant 
A: 	dit zijn ding die hebben weer vier uitsteeksel zo'n borstel erboven wcborstel één link bol 
A: 	kubus rechts en één erachter 
A: 	negen 
B: 	ja 
B: 	waarom zien ik die niet 
B: 	hier 
B: 	B 
B: 	de blok die steeds klein worden aan de rechterkant en dan die ding boven uitsteken en links en aan de achterkant steken er nog iets uit 
B: 	de zeggen maar die klein worden blok zitten aan de rechterkant 
B: 	met die twee antenneding ja 
A: 	ja 
A: 	ik hebben die met waar we het net over hebben borstel kegeltje of raar dinge en blokkentoren weten je wel 
A: 	die die die je net ertussen proberen te passen 
A: 	ja 
A: 	nummer vier 
