A: 	ja hebben het een lepeltje 
A: 	of van die oort 
A: 	een vierkant band ja met één armpje omhoog en zo'n neus naar 
A: 	ja dan zijn het zes 
B: 	het ja het doen mij een ja ja het aandoen mij denken aan een soort olifan maar dan weten ik natuurlijk niet of het jou daaraan doen denken 
B: 	nee hij hebben uit ja echt zo'n slurf aan de voorkant 
B: 	en dan lijken het net alsof die zo zeggen maar een armpje op houden 
B: 	en dan bovenop staan nog twee heel klein cilindertje 
B: 	naast elkaar 
B: 	ja er zitten een soort vierkant ding 
B: 	ja 
A: 	die hebben een rok dat vierkan 
A: 	ja dertien 
B: 	zo'n armpje zo zullen je het zo kunnen zien 
B: 	en 
B: 	ja ja dat zijn C 
B: 	dit zijn die met aan de voorkant een slurf 
B: 	boven op het hoofd twee ja cilindert of rechthoekje 
B: 	en het armp 
A: 	het rokje weer die 
B: 	de olifant even zeggen maar met de arm zo 
B: 	J 
A: 	ja zijn negen 
A: 	het het het rokje weer dat de ballerina 
B: 	dit zijn de olifant met het armpje zo 
B: 	en het vierkant plateau erdoorheen 
B: 	bij mij staan die heel erg rechts 
B: 	nou toevallig 
B: 	olifan met een armpje 
B: 	ja bij mij ook ja 
B: 	dat zijn N 
