B: 	en dan daarachter een soort van een slurf 
B: 	ja 
B: 	g 
A: 	okee even kijken je hebben het kopvormp 
A: 	bovenaan zitten een redelijk groot druppelvorm 
A: 	dan zitten er link beetje naar voren stekend nog zo'n druppelvorm 
A: 	en aan de rechterzijkant daar zitten een toren van drie à vier van die blok op elkaar stapelden 
A: 	en link zitten er nog één ja wurmpje 
B: 	deze hebben twee handvaet één bovenop één aan de linkerkant 
B: 	en aan de rechterkant die vierhoek die steeds klein worden 
A: 	en dan aan de linkerkant zitten zo'n vreemd boog 
A: 	ja 
A: 	tien 
B: 	ja 
B: 	n 
B: 	deze hebben een handvat bovenop een handvat links en aan de rechterkant die blok die steeds klein worden 
B: 	handvat bovenop een handvat link 
B: 	en aan de rechterkant de blok die 
B: 	okee theekop ja zijn goed 
B: 	h 
A: 	dit zijn die met de druppelvorm bovenop en dan de druppelvorm link 
A: 	met aan de rechterkant de blokkentoren 
A: 	ja 
B: 	dit zijn de theekop 
A: 	ja en het klein friemel 
A: 	ja twee 
A: 	dit zijn die met de twee druppelvorom één erboven één aan de linkerkant en de blokkentoren rechts 
A: 	yes 
A: 	even kijken 
A: 	ja elf 
