A: 	ja 
A: 	oké dat zijn nummer zestien 
B: 	nou het dit zijn een kop er zitten een soort van plank aan met een omgekeerd lampenkap erop 
B: 	ja ja ja ja ja 
B: 	precies 
B: 	ja 
A: 	dit zijn de mok met het uitklaptafel met het bak erop 
B: 	ah P 
A: 	ja veertien 
B: 	het zijn weer die een met de plank met de lampenkap 
B: 	ja 
A: 	dit zijn die met het uitklaptafel 
A: 	en dat bak 
B: 	N 
A: 	ja 
A: 	nummer tien 
B: 	en ja het zijn weer de plank met de lampenkap 
B: 	en de twee balk eruit 
A: 	en dit zijn het uitklaptafeltje 
B: 	D 
