A: 	ja dit zijn een kop met één van achter een soort kle 
A: 	en hij hebben aan al twee de kant hebben die een soort van pilaar met een dopje een soort van paraplu misschien zoals je willen één aan de 
A: 	ja één zijn lang dan de ander inderdaad 
B: 	ja 
B: 	zijn zeggen maar alsof dat ding erdoorheen gaan 
B: 	oké 
B: 	ja 
B: 	oké 
B: 	dat zijn K bij mij 
A: 	ja ja ja ja ja ja ja dat zijn negen 
A: 	zo 
A: 	dit zijn dat komme met die twee balk aan de zijkant met die met die bollet daar dan weer op 
A: 	en dan een kleppie achterin weer 
B: 	dit zijn die met soort knuppel door het midden 
B: 	met die rond dinget aan de buitenkant 
B: 	en dan daarachter soort van plaat 
B: 	met een dinge eraan 
A: 	ja ja ja ja ja ja ja 
A: 	dat zijn drie 
A: 	dit zijn degeen met die een kort en één lang uittulpsel met die bollet eraan en die klep Hierachter 
B: 	ja 
B: 	ja 
B: 	dat zijn F 
A: 	de kleppie 
A: 	twee potlod met bollet 
A: 	nee 
A: 	ja ja ja ja ja ja ik weten het 
A: 	ik zien hem alleen niet ja hier 
A: 	dat zijn vijf 
B: 	dit zijn die die jij op een gieter vinden lijken volgens mij 
B: 	of met dat ding erdoorheen 
B: 	en die bollet aan de zijkant 
B: 	ja dat zijn L 
B: 	dit zijn die gieter 
