A: 	o 
A: 	met dat met die met die glijbaan 
A: 	lijken of een ja 
A: 	ja ja ja die die kennen ik wel ja 
A: 	dat zijn mijn favoriet 
A: 	nee o ik zullen het zeggen ja zes 
B: 	dat gaan best wel soepel 
B: 	oké maar nu hebben ik weer een vierkan 
B: 	nu hebben ik ja hoe noemen je dat ? dat beker zeggen maar en er zitten halverwege zo'n vierkant plaat doorheen 
B: 	dat zijn er maar één toch die dat hebben 
B: 	en er zitten zo twee van die poo in 
B: 	ja dus hij staan niet op die plaat maar er er staan een plaat zeggen maar horizontaal en daar zitten die soort van half zo in 
B: 	ja 
B: 	ja 
B: 	dan denken ik dat we dezelfde hebben 
B: 	ja 
B: 	nee dat zijn zeggen maar een ik denken dat jij een ander in je hoofd hebben 
B: 	deze hebben ook zo'n plaat maar hij zijn zeggen maar helemaal vierkant en daar zitten die die zitten laag op dat ding 
B: 	ja 
B: 	ja 
B: 	echt wel zeggen maar onderste één drie ongeveer en dan zitten er twee van die piefjes die er zo uit steken 
B: 	ja 
A: 	o die een met die glijbaan die jij een fabriek noemen 
A: 	met dat platvorm er recht doorheen ja 
B: 	oké ja dat zijn ja en dan met die twee uitsteekselt 
B: 	ja 
B: 	oké dat zijn C 
A: 	ja 
A: 	dertien 
B: 	oké dit zijn die met ja die ballerina dat je net zeggen met dat dat plateau zo onderin en dan die twee antenne 
B: 	ze 
A: 	die glijbaan fabriek 
A: 	bij mij zitten hij in ieder geval onderin 
B: 	oké even kijken waar die zijn J 
A: 	ok 
A: 	ja o negen 
B: 	ja bij mij niet dus dan zijn dat rood 
B: 	dit zijn die ballerina 
A: 	die glijbaan fabriek 
A: 	of stofzuiger of zo 
A: 	hebben je wel eens zo'n Henry Stofzuiger zien 
A: 	zo'n Henry Stofzuiger 
A: 	nee laten maar dan kennen je hem niet nee 
A: 	hij lijken er heel veel op 
A: 	nee nee niet per se 
B: 	die zijn bij mij N 
