A: 	bij mij zitten er een driehoek bovenop en dit zijn wel een scherp driehoek 
A: 	zijn geen stompe maar echt met een punt 
A: 	en dan zitten er nog een soort van balk die steeds breder worden zo tegen het figuur aan dan zitten er aan de linkerkant nog één ja een punt 
A: 	een scherp dinge 
A: 	ja 
B: 	ja en er zitten zo'n ja soort isteken aan de een kant zeker 
B: 	ja 
B: 	dan zijn dat wachten 
B: 	dat zijn J 
B: 	dit zijn dat feestmuts met die blok en zo 
B: 	ja ja 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	papier hoedje 
B: 	ja 
B: 	ja 
B: 	E 
A: 	dit zijn met dat puntig driehoek erbovenop 
A: 	en dan zo'n blok een mun aan de links kant en 
A: 	ja en aan de links kant zo'n klein kogel 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	dit zijn het papieren hoedje 
A: 	misschien vallen het vallen het net gewoon op omdat ze die omcirkelen zijn bij mij maar 
A: 	ja 
A: 	ja de 
A: 	ja 
A: 	piramide zeggen maar 
A: 	ja 
A: 	zijn nummer tien 
B: 	feesthoed ja 
B: 	ah 
B: 	G 
B: 	de feesthoed 
A: 	dit zijn het veel linksbovenst figuur bij mij dat zijn een heel scherp heel scherp punt de driehoekpunt erbovenop 
A: 	met dat mun die eronderuit vallen 
A: 	even zoeken ja dat zijn nummer zes 
