B: 	ik hebben er nou degeen die ook weer met een plank zijn doorsneden alleen dan boven het midden 
B: 	met twee van die flubbelt aan de plank ook nog 
B: 	ja 
A: 	ja 
A: 	zo'n ok ja 
A: 	ok dat zijn dan nummertje zestien 
A: 	ja dit zijn dan ook wat we over hebben helemaal hoog bovenin lijken dan net dat zo'n plateau om er omheen zitten met een klein bak er bovenop 
A: 	lopen af ja en dan hebben je aan de zijkant hebben je dan nog 
A: 	poo ja 
B: 	ja 
B: 	ja 
B: 	met de poot de plank ja 
B: 	P 
B: 	dit zijn met het bak bovenop die plank die erdoorheen gaan 
B: 	met die flubbelt aan de plank 
B: 	ja plankhouder zijn goed plankhouder 
A: 	ja 
A: 	zo'n zo'n ja ok dat zijn dan nummertje veertien 
B: 	met die met die met poo aan de 
B: 	ja 
B: 	ja 
B: 	N 
A: 	ja dit zijn die die beetje hoog boven omringen worden door zo'n plateau met een bak er op en aan de zijkant eigenlijk zo'n twee poot en dan aan achterkant hebben je nog zo'n lus 
A: 	ja Slurf 
B: 	dit zijn de plank met het schaaltje boven op de plank 
B: 	die door het kop heen gaan 
A: 	ja ja 
A: 	ah 
A: 	ja dat zijn dan nummertje tien 
B: 	ja ja 
B: 	D 
A: 	ja dit zijn weer die plank die er eigenlijk bovenom om er omheen zitten met een blok er of een bakje er bovenop en op twee poo aan de zijkant 
A: 	ja en aan de achterkant ja ja 
