A: 	deze hebben twee keer dezelfde vorm waarvan één zo staan en één zo en dit zijn een beetje zo'n 
A: 	ja dat ja precies en dan hebben je nog één zo'n Minecraftblokje eraan vasthangen en nog een uitlaat 
A: 	ja daar lijken het op 
B: 	een propeller ja 
B: 	ja nog even nogmaals dus 
B: 	ja dat zijn E 
A: 	ja met dat een schuin dak zo 
A: 	bedoelen je 
A: 	wachten je bedoelen die een met die Minecraft en die uitlaat 
A: 	ja 
A: 	nummer elf 
B: 	oké dit zijn weer die propeller dus één boven één links en die verrekijker rechts 
A: 	dit zijn die met die deegroller er 
A: 	even zoeken 
A: 	ja dat zijn negen 
A: 	ja als je gewoon weten welk welk je hebben 
B: 	de propeller 
B: 	even de propeller who ja 
B: 	ja dat zijn J 
A: 	die deegroller 
B: 	dit zijn de propeller met de verrekijker rechts 
A: 	ja nummer vier 
B: 	ja met de rug nee nee de propeller zijn met de verrekijker 
B: 	ja ja ja 
B: 	dat zijn de B 
B: 	dit zijn de propeller 
B: 	met de verrekijker 
