A: 	ok deze hebben best wel veel uitstekel aan de bovenkant een soort ovale en ook een beetje aan de voorkant naar links toe dezelfde ovaal 
A: 	en dan aan de rechterkant aan de voorkant een soort van vierkant en dan boven dat ovaal aan de linkerkant zitten ook nog een gek uitsteeksel 
A: 	ok bij mij elf 
B: 	ja 
B: 	met een heel gek bouwen achtig armp 
B: 	en een 
B: 	ja precies en nog een heel klein spastisch armpje daar aan de ander kant 
B: 	ja 
B: 	dan gaan het om E 
A: 	die waar we eigenlijk geen naam voor hebben 
A: 	ok ja bij mij zijn dat elf 
A: 	ok 
B: 	dit zijn het heel raar figuur 
B: 	waar je een kegel erbovenop hebben zitten aan de zijkant je hebben dat autistisch harm armpje en je hebben zeggen maar die Minecraft arm 
A: 	dit zijn weer die een met die twee ovaal uitsteeksel waar we volgens mij de enig waar we niet echt een omschrijving voor hebben en die ja 
A: 	ja 
A: 	bij mij drie 
A: 	miereneter 
A: 	o nou dan houden we het daar op 
A: 	ja 
A: 	even zoeken waar hij staan ja dat zijn negen bij mij 
A: 	ok 
B: 	ja met het 
B: 	ja 
B: 	ik zoeken hem even op 
B: 	dat zijn geen pinokkio dat zijn mijn Minecrafthandje en het gek hand en twee kogel ja 
B: 	gaan het om J 
B: 	dit zijn met het Minecraftarmpje en de spastisch 
A: 	dit zijn die miereneter 
A: 	ja twee bij mij 
A: 	ja zijn vier bij mij 
B: 	ja 
B: 	dat worden B 
B: 	het Minecraftarmpje en het spasmearmp 
