A: 	hier hebben je twee balk die rechts eruit komen 
A: 	tweedimensionaal 
A: 	rechthoe eigenlijk 
A: 	die recht boven elkaar staan die rechts uit de emmer komen 
A: 	en bovenop hebben je een soort trechtervorm die op zijn kop staan 
B: 	soort van precies gelijk 
B: 	ja oké ik zien hem N 
A: 	daar ja 
A: 	twee 
A: 	deze hebben die trechter bovenop omgekeerd 
A: 	en twee balk aan de rechterkant 
B: 	twee streepjes die precies gelijk zijn aan de rechterkant 
B: 	trapeze zijn het 
B: 	op de bovenkant 
B: 	linkerkant klein figuur en linksonder soort staar 
B: 	ja 
B: 	ja 
B: 	L 
A: 	even zoeken 
A: 	daar negen 
A: 	die hebben die omgekeerd trechter bovenop 
A: 	ja vier 
B: 	twee gelijk dinge aan de rechterkant 
B: 	en trapeze aan de bovenkant 
B: 	ja klein staart aan de aan de linkerkant heel klein stuk 
B: 	kunnen gebeuren 
B: 	ja ik gaan hem zoeken 
B: 	ik weten hem al 
B: 	ja dat zijn zo'n 
B: 	trapezium 
B: 	G 
B: 	gelijk aan de rechterkant , twee gelijk dinget , en piramide op zijn kop 
B: 	nee piramide op de bovenkant 
B: 	trapezium 
B: 	ja 
