A: 	ik hebben best wel een complex figuur 
A: 	aan de bovenkant van de mok zitten een een lepel erin eigenlijk in het midden 
A: 	aan de rechterkant zijn het een soort vierkant blok 
A: 	dan aan de linkerkant lijken het alsof er nog zo'n armpje uit komen 
A: 	en aan de soort van voorkant zitten ook nog eenzelfde figuur als wat boven een lepel lijken zitten ook nog aan de voorkant 
A: 	dus er steken iets in en datzelfde ding steken aan de voorkant er ook weer uit 
B: 	ja 
B: 	ja 
B: 	het zijn maar zeggen maar dat ding dat aan één kant uitsteken en dat daarboven zijn hetzelfde zeker 
A: 	en dan zitten er aan de rechterkant een vierkant blok 
B: 	ja 
A: 	in in redelijk veel mokk zitten een lepeltje 
B: 	ja ja 
B: 	oké 
A: 	en dit zijn dan echt de groot 
B: 	dat zijn E 
A: 	de groot lepel 
A: 	ja dat dat zullen kunnen nee even kijken welk jij dan denken ik nee nee 
A: 	het zijn hij zijn lang dan dat 
A: 	wat hoog 
A: 	en dan aan de voorkant zeggen maar komen dat ook eruit 
A: 	datzelfde ding 
A: 	ja 
A: 	ja ja 
A: 	ja 
A: 	ja 
A: 	aan de achterkant nog zo'n armpje wat eruit komen 
A: 	ja 
A: 	even kijken ja 
A: 	ja en dat aan de voorkant of dat ding wat erin komen zijn een blok die steeds klein worden 
A: 	ja 
A: 	nummer 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	ja deze zijn met die ja met dat een ding bovenop dat ook aan de zijkant zitten zeggen maar 
B: 	zeggen maar dat dat eerst dan smal zijn en dan breder worden en dan weer smal worden 
B: 	en diezelfde zitten ook aan de zijkant 
B: 	en dan aan de ander één van de ander zijkant het zijn net of daar een wolkenkrabber doorheen zijn Geboord 
B: 	ja ja ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja die cactusachtig wolkenkrabber 
B: 	J 
A: 	deze zijn met die twee lepelt één erin met die groot lepel die erin gaan en dan komen die aan de voorkant eruit 
B: 	ja dit zijn die met die één wolkenkrabber zeggen maar 
B: 	en dan met die cactusachtig ding 
A: 	ja 
A: 	ja 
A: 	nummer negen 
B: 	die 
B: 	ja 
B: 	ja 
B: 	B 
B: 	met die een wolkenkrabber 
B: 	ja 
A: 	ik hebben die met die twee lepel één die Erbovenin vallen en één die ervoor uitsteken 
A: 	met dat vierkant ding wat steeds klein worden 
A: 	en dat armp 
A: 	ja 
A: 	die staan nummer vier 
