A: 	ja 
A: 	ja 
A: 	ja ja ja 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	oké deze zijn weer dat die basisvorm 
B: 	dan aan de zijkant op al twee de plek dat vierkant dat steeds klein vierkan worden waar we het over hebben en een groot vierkant blok 
B: 	een soort van plaat aan de voorkant 
B: 	met nog een soort Antenne achterin 
B: 	ja 
A: 	ik hebben nu weer wel die met dat vierkan aan de voorkant 
A: 	en met dat schoorsteent waar ik het over hebben 
A: 	ja 
B: 	dat zijn G 
A: 	en die twee blok allemaal 
A: 	ja 
A: 	dat zijn negen 
B: 	dit zijn die spion wat jij zeggen met dat met dat groot vierkant blok voor 
B: 	ja 
B: 	dit zijn D 
A: 	ik hebben dat ding met dat schoorsteen en dat vierkant ding aan de voorkant van zijn gezicht 
B: 	dit zijn die spion 
B: 	even kijken waar zijn die 
B: 	ja dat zijn B 
A: 	ja oké ja dat zijn één 
A: 	ik hebben die met die schoorsteen en dat vierkant ding aan de voorkant 
