B: 	ik inzien nu een dinge 
A: 	ik hebben geen rood vierkant 
B: 	en dan moeten ik uitleggen aan jou toch 
B: 	okee er zitten een half cirkel linksboven 
B: 	en een antenne rechtsboven 
B: 	en hij hebben een soort van neus aan zijn linkerkant 
A: 	ja 
B: 	ja 
B: 	weten je het 
A: 	en zijn die langwerpig die standaard 
A: 	okee 
A: 	maar dat zijn geen bollet zijn veel een soort half half cirkel die je zien 
A: 	okee 
A: 	dan denken ik dat ik het wel weten 
A: 	achten 
B: 	à 
B: 	Hey 
B: 	schotel Linksboven 
B: 	een neus links en een Antenne rechts 
A: 	volgens mij zijn we rond 
A: 	dit zijn degeen met de half bol bovenop 
A: 	en een veer op zijn hoofd Bovenin 
A: 	of ja één 
A: 	yes 
B: 	p 
B: 	schotel linksboven en een Antenne rechts en het handvat links 
A: 	langwerpig hals 
A: 	okee dat zijn dertien 
B: 	g 
A: 	deze hebben de half cirkel op zijn hoofd met een veer en een pinokkio-neus 
A: 	link 
A: 	maar een rond een bal ? nee 
A: 	wachten even hoor 
A: 	ja vijf 
A: 	half bol met pinokkioneus 
