A: 	een rechthoek 
A: 	ja 
A: 	en aan de linkerkant hebben hij een soort rond ovaal uitgetrokken ja ik weten niet hoe je dat moeten 
A: 	ja 
A: 	nummer drie 
B: 	deze hebben een een wat lang rechthoekig blok op de bovenkant 
B: 	wat dikk ook 
B: 	en aan de zijkant een soort van stamperachtig bedoeling 
B: 	waarbij je dus één zo'n zo'n kegeltje hebben met met iets eraan 
B: 	en aan 
B: 	dat zijn aan de rechterkant dus aan de linkerkant zijn een soort van zijn een beker aan de Linkeronderkant 
B: 	ik weten niet of je die zien 
B: 	dat zijn ook vrij basic 
B: 	de 
B: 	nee maken niet uit 
B: 	okeeen je je hebben dan 
B: 	let op die bovenkant dus want er zijn niet veel bovenkant met een rechthoekig blok 
B: 	zien je hem 
B: 	ja okee want dan dan 
B: 	ja 
B: 	ja ik ja ik denken dus ik zien er een beetje zo'n stamper in maar inderdaad ja ik ik snapen wel wat jij ook wel bedoelen inderdaad 
B: 	ja 
B: 	ja 
A: 	oké deze hebben een recht hoek op het kop 
A: 	die zijn plat leggen dus hij steken niet uit 
B: 	ja 
B: 	ja ik ik zoeken hem maar ik kunnen hem heel even niet 
B: 	jesus waarom lukken het niet dan nu niet om hem te vinden 
B: 	ik kunnen ik kunnen hem niet vinden 
B: 	wachten waar wachten even 
B: 	leggen leggen 
A: 	even kijken waar staan nummer zeven 
B: 	wat wat zien je aan de voorkant 
B: 	zitten één zitten een rechthoek blok 
B: 	ja okee 
B: 	wauw 
B: 	dat zijn l 
A: 	een de rechthoek bovenop het kop , die niet dan uitsteken maar die plat liggen 
B: 	deze zijn met die pedaal weten je wel en de of die sorry die stamper en die en dat beker aan de onderkant 
B: 	en daarovenop zitten dat rechthoek 
A: 	oké even kijken waar die staan 
A: 	ja nummer tien 
B: 	ja ik snapen welk je bedoelen maar ik moeten heel even zoeken waar die 
B: 	kijken ik er overheen 
B: 	ja ah ja ik zien hem 
B: 	d 
A: 	het rechthoek plat bovenop het kop 
A: 	je weten welk ik bedoelen in ieder geval 
B: 	dit zijn eigenlijk het enig object met dat rechthoek Blok rechthoekig blok aan de op de bovenkant 
B: 	rechts hebben je dat schep en links dat beker 
B: 	ja dat zijn zuur 
B: 	nice 
B: 	ja die zijn ik dus 
B: 	ja ja ja met die met dat beker en die dat schep 
B: 	ja ja 
B: 	e 
