A: 	deze hebben vier uitsteeksel één aan de bovenkant een beetje een één glad en dan aan de rechterkant een soort legoblok 
A: 	en dan nog nog één zo'n zelfde glad een beetje in het midden en nog een soor regenpijp wormp naar achter 
A: 	zo zullen ik het niet zelf kunnen willen noemen denken ik maar het zijn een soor legblokje die steeds groot worden zeggen maar dus hij beginnen met een klein legoblok en dan worden ze steeds groot 
A: 	nee die zitten aan de zijkant sorry die zitten rechts aan aan de rechterzijkant 
B: 	o ja ik ja ik weten denken ik wel welk je bedoelen dat zijn bij mij E 
A: 	nee dat zijn er één 
A: 	één zo'n legoblok en aan de bovenkant één zo'n soort glad cactus 
B: 	ok 
A: 	ja en aan de linkerzijkant dezelfde en aan de rechterzijkant zo'n blok en 
A: 	ja 
A: 	oké 
A: 	oké 
A: 	ja 
A: 	even kijken waar zijn die ? ja 
A: 	ja 
A: 	en met die regenpijp ook nog zeggen maar aan de 
A: 	ja oké nummer elf 
B: 	dit zijn ja weer dat dinge met dat met dat ovaal dinge aan de bovenkant ovaal dinge zeggen maar aan de linkerkant en die 
B: 	blok aan de rechterkant en achter nog iets van een slurf of zo 
B: 	ja 
B: 	ok bij mij F 
A: 	oké 
A: 	ja dit zijn weer dat een soort half fliebel bovenop 
A: 	met dat legoblok links en dan datzelfde fliebel weer rechts met dat regenpijp 
A: 	het zijn echt wel lastig uitleggen sommig 
A: 	ja met de regenpijp 
A: 	ja nummer negen 
B: 	o die met die vierkant ook ja dat zijn bij mij J 
B: 	ok 
B: 	ja het doen mij een beetje denken aan een miereneter van achteren of zo ja met vanwege die toet zo 
B: 	ja 
A: 	even kijken deze zijn weer met dat een freubel bovenop en dan dezelfde aan die kant en dat legoblokje en dat regenpijp 
A: 	ja die zijn wel handig 
B: 	dit zijn zeggen maar die bij mij op de miereneter zeggen maar op de van achter lijken 
B: 	ok bij mij H 
A: 	ja en het regenpijp 
A: 	nummer vier 
A: 	die regenpijp doen het hem 
B: 	even kijken waar die zijn o daar B 
B: 	h even kijken 
B: 	ok 
B: 	o dit zijn de miereneter van achter 
B: 	ok bij mij E 
