B: 	hij hebben zeggen maar van die verrekijker naar links en dan hebben die 
B: 	ja 
A: 	ja ja van die neus die ik en dan zitten er een vierkant 
A: 	ja ja ja met een soort van raar knopding of zo of een spijker ja 
A: 	ja ik denken dat het zo'n ejectionknop zo zoiets zijn 
A: 	ja dat dat zijn bij mij twee 
B: 	ja en het vlak ervoor 
B: 	G 
B: 	dit zijn die verrekijker met die blok en dan dat vlak ervoor 
B: 	ja 
A: 	dit zijn die een met dat raar vierkant aan de rechts kant en dan die die ejectionknop 
A: 	en dan die twee soort van vierkant neus die eruit komen 
B: 	D 
A: 	ja met die ejection 
A: 	ja ja ja 
A: 	nummer negen 
A: 	dit zijn die een met dat vierkant met die ejectionknop en die twee vierkant neus die eruit komen 
B: 	dit zijn die met dat vlak aan de voorkant en twee verrekijker 
A: 	ja die ejection met die twee met die vierkant neus die eruit komen 
A: 	nummer één 
B: 	ja B 
A: 	degeen met dat vierkant schild die ejectionknop en die twee vierkant neus 
