B: 	ja ja neuspiercing 
A: 	top 
B: 	ja inderdaad zo'n dinge 
A: 	nou hebben ik hem 
A: 	het zijn een soort van koffiekopje waarbij het lijken alsof het lepel Linksboven daaruit steken 
B: 	ok F 
A: 	en aan de voorkant zitten een rond ballet met een rechthoekig staafje erdoorheen met een soort van schotel aan het einde 
A: 	nee aan de voorkant aan het aan het handvat maar eigenlijk als je kijken naar het lepel wat linksbof uitsteken 
A: 	dan zijn het er als het goed zijn maar één 
B: 	de indiaan met neuspiercing 
B: 	met zijn ding ja 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	ok 
B: 	ja rooie zijn het 
B: 	o ja ok A 
A: 	dit zijn de mok waarbij er linksbof een klein lepeltje uit steken 
A: 	en aan de voorkant zitten een verticaal balk die vasthouden worden door een rond 
A: 	en aan het einde zitten zo'n soort van plat rond aan de rechterkant 
B: 	ok 
B: 	even kijken de indiaan met piercing 
A: 	ja 
A: 	dat zijn nummer vijf hier 
B: 	ik zitten hem even te zoeken 
B: 	ja 
B: 	bij mij ook H 
A: 	hier steken het koffielepeltje linksbof uit 
A: 	aan de voorkant zitten een een horizontaal staaf 
A: 	die gaan door een rond heen 
A: 	en aan de rechterkant zitten een plat rond 
B: 	indiaan met piercing 
A: 	ja 
A: 	nummer vijftien 
