A: 	ja 
A: 	ja dat hebben ik als een vulpen omschrijven ja 
A: 	ik hebben het 
A: 	ja ja ik zien hem 
A: 	ja dat zijn veertien 
B: 	oké deze zijn een soort van ik zien het een beetje als gezicht en zo'n kommetje en er zitten een ei voorop plakken weten je nog dat we die een hebben met die door die neus heen 
B: 	weten je nog dat we die hebben 
B: 	ja 
B: 	nee dat we die een hebben waar die door die 
B: 	ja 
B: 	dus dezelfde soort vorm als neus zeggen maar en dan voorop hoog 
B: 	en dan aan de zijkant één balkje en boven ongeveer twee twee soort van verschillend balk 
A: 	vulpen 
A: 	ik hebben nu weer die vulpen 
A: 	en dat ei neus ding 
A: 	ja 
B: 	dat zijn N 
B: 	dit zijn ja die pot met die ei voorop 
B: 	en dan die kegel boven en het recht rechthoek boven en aan de zijkant zeggen maar zo'n schuin armp 
B: 	ja 
B: 	oké 
A: 	ja 
A: 	ja wachten even zoeken hoor waar die zijn 
A: 	ja wachten hij zitten bij mij linksbof ja 
A: 	ja dat zijn negen 
B: 	dit zijn G 
B: 	dit zijn wat jij die clown noemen 
B: 	ja 
A: 	ik hebben die vulpen en dat Eineus 
B: 	dat zijn J 
A: 	ja 
A: 	oké dat zijn nummer vijf 
A: 	ik hebben die met die vulpen 
A: 	en de Eineus 
