B: 	hij staan op een soort van ovaal ding met een rond schijf erachter 
B: 	afhangen erachter 
B: 	en er steken een ja één rond ding links uit 
B: 	en een soort van lepel Erbovenin staan 
A: 	ja 
A: 	en dan en dan rechts bovenin nog zo'n zo'n punt toch 
A: 	ja ja alsof er een lepel in staat oké 
B: 	ja precies 
A: 	dat zijn nummer dertien 
B: 	ja 
B: 	oeh zijn verschuiven 
B: 	zijn het er één die we al hebben hebben toevallig 
B: 	dat ovaal ding weer waar die op staan of zijn dat weer een ander 
B: 	linkerkant een soort van potlood en een soort van lepeltje erin 
B: 	ja 
B: 	O 
A: 	deze zijn die hebben zo'n aan de achterkant dat rond zitten 
A: 	je zien eigenlijk alleen maar de helft van dat rond zo'n staart en dan zo'n uitstulpsel die link eruit komen 
A: 	ja dus eigenlijk eigenlijk aan de achterkant van het kop zien je zien je nog de contour van een half rond 
A: 	ja 
A: 	ja zo'n staart 
A: 	ja 
A: 	en aan de onderkant zo'n blok waar die op leunlen 
A: 	ja 
A: 	gaan ik vanaf nu gewoon alleen dat blok noemen dat zijn veel makkelijk 
B: 	dit zijn weer met dat potlood dat eruit steken een rond schijf aan de achterkant en hij staan weer op zo'n oor ovaal ding 
A: 	ja met die steunpilaar 
A: 	nummer achten 
B: 	dat zijn de enig waar dat ovaal ding doorheen steken 
B: 	ja 
A: 	die met dat blok eronder 
B: 	potlood aan de linkerkant 
B: 	ja 
B: 	C 
A: 	ja 
A: 	dat zijn nummer zeven 
B: 	ja dit zijn weer dat ding dat op zo'n ding staan met een potlood links en een rond schijf achter 
B: 	en een lepeltje erin 
A: 	dat met dat blok onderin 
A: 	en 
A: 	oké 
B: 	ja 
B: 	C 
B: 	oké 
