B: 	oké ik hebben het vierkant dus jij moeten dan drukken 
B: 	even kijken 
B: 	ja denken het wel 
B: 	kijken bij mij zitten er zeggen maar als het een gezicht zullen zijn zullen hier zo'n zo'n steel zitten 
B: 	en en een lang neus 
B: 	ja ja ja zoiets 
B: 	even kijken 
A: 	oké 
B: 	nee het zijn geen oort 
B: 	er zitten nog wel een ander vorm aan 
B: 	maar als ik die opnoemen dan hebben ik zeggen maar alles al beschrijven 
B: 	ja 
B: 	kunnen je nog 
A: 	een handvat 
B: 	ja kunnen je nog iets beschrijven zodat ik zeker weten dat je hem hebben 
A: 	met een klein beker zeggen maar eronder 
A: 	heel klein 
A: 	oké dertien 
B: 	Legoblok wat voor Legoblok 
B: 	ja 
B: 	ik denken ik denken niet dat we dezelfde hebben 
B: 	even kijken 
B: 	want we hebben we we hebben allebei dezelfde plaat precies dezelfde plaat 
B: 	ja het zijn het zijn zeggen maar 
B: 	ja of of een een waterdruppel zeggen maar 
B: 	ja echt bovenop 
B: 	nee nee maar één 
B: 	maar één ja 
B: 	ja 
B: 	ja ja ja ja dan hebben we dezelfde 
B: 	dan moeten jij drukken 
B: 	denken ik 
B: 	ja 
B: 	oké bij mij zijn het G 
B: 	drukken en en dertien zeggen geloven ik 
A: 	ik weten eerlijk zeggen niet veel wat we deze hebben hebben 
A: 	maar er zitten een een rond schaal achter 
A: 	aan de zijkant steken een een een pilaar of iets uit 
A: 	en boven steken een soort van pollepelachtig iets uit 
B: 	en die die neus 
B: 	ja 
B: 	O 
A: 	ik zitten te kijken waar die staan 
A: 	ik denken het ook 
A: 	even kijken welk cocktail 
A: 	daarboven hebben je nog iets wat uitsteken 
A: 	en aan de zijkant steken ook iets zo uit 
A: 	ja klopt en daarachter hebben je ja dat zijn denken ik uiteindelijk een cirkel of iets wat ja kloppen 
A: 	achten 
B: 	ja hebben jij nu ook de veel plaat aan één kant 
B: 	ja 
B: 	bij mij zijn het die met die soort cirkel en dan ook weer zo'n waterdruppel 
B: 	bovenop 
B: 	en dan weer zo'n lang neus 
B: 	een soort boomstam 
B: 	nee geen blok 
B: 	nee geen hand 
B: 	je hebben zeggen maar boven op op aan de bovenkant hebben je één zo'n waterdruppel 
B: 	en aan de rechterkant en aan de linkerkant zitten zo'n half cirkel 
B: 	ja 
A: 	volgens mij omschrijven je deze als cocktail 
A: 	met die citroenschijf en 
A: 	ja 
B: 	even zoeken 
B: 	waar staan die 
B: 	ah hier 
B: 	C 
A: 	de cocktail waar zijn je ? hier 
A: 	zeven 
B: 	die met die druppel en die nek en die half cirkel Bovenin 
B: 	C 
A: 	denken ik dat 
A: 	cocktail 
B: 	nou dit zijn het 
B: 	ja ik denken het ook alleen die 
A: 	ho 
A: 	yes 
