A: 	ja 
A: 	oké dan zijn het nummer vier 
B: 	dit zijn er één met een soort lang voetstuk onder het pot 
B: 	met een driehoekje en dan zo'n buisje en dan nog 
B: 	ja een beetje draaien kronkelen 
B: 	ja 
A: 	dit zijn die jij toen hebben met dat soort standbeeld op dat plateau en dan één zo'n ding 
B: 	ja op dat voetstuk 
B: 	ja 
B: 	dan zijn het A 
A: 	ja 
A: 	nummer tien 
A: 	dit zijn dat standbeeld 
A: 	oké jammer 
A: 	even kijken waar die zijn 
A: 	ja nummer vier 
A: 	het standbeeld 
B: 	dit zijn weer met dat dat wijnglas 
B: 	oké 
B: 	dat zijn L 
B: 	dit zijn dat wijnglas 
B: 	dat zijn F 
