B: 	dit zijn volgens mij het veel symmetrisch plaat dat er zijn alleen zijn net vanaf de linkerkant een beetje een foto nemen 
B: 	het zijn twee van die uitstekend armp met drie klein ruit 
B: 	en rond cirkel voorop 
B: 	ja dat ook nog ja 
A: 	ja 
A: 	oké dan moeten ik het zeggen welk kunnen welk het zijn toch 
A: 	dat zijn nummer vijf 
B: 	ja ja 
B: 	dat zijn J 
A: 	ik hebben beker aan de voorkant zitten een afgevlakte cirkel 
A: 	en hij zitten onderkant zitten een vierkant 
A: 	een soort van een soort van mok soort soort van hoe noemen je dat ? schotel 
A: 	vierkant schotelt 
A: 	waar die op staan 
A: 	ja en daar hebben je er maar één van 
B: 	dit zijn de symmetrisch 
B: 	met 
B: 	oké 
B: 	dat zijn P 
A: 	ja 
A: 	oké 
A: 	dat zijn elf 
B: 	dit zijn de symmetrisch 
A: 	dat zijn er zitten een mokje op een vierkant een soort van op het hoe noemen je dat 
A: 	ja aan de achterkant 
A: 	drie bollet 
B: 	dat zijn L 
A: 	oké jij zijn 
A: 	ja 
A: 	dat zijn negen 
A: 	die met de de de vierhoekjes die aan de de mokje vastzitten met het tafel eronder het vierhoek eronder 
A: 	en een cirkel ervoor 
A: 	eigenlijk 
A: 	dus een mok 
A: 	en de plat cirkel ervoor 
A: 	precies met die punt nou die liggen op een vierhoek 
A: 	want hoe noemen je die ? noemen je dat een tafel of zo of een 
A: 	dat zijn een een kort woord 
A: 	ja het kunnen 
