B: 	oké deze hebben drie bollet uitsteeksel aan allebei de kant 
B: 	en er zitten een vlak onder 
B: 	ja 
A: 	ja dan weten ik denken ik al wel wat je welk je bedoelen er zitten een rond voor nog 
A: 	ja 
A: 	oké dan zijn het nummer vijf 
B: 	ja 
B: 	oké 
B: 	dat zijn J 
A: 	even kijken hoor ja dit zijn die enig met die hij hebben drie driehoek die er link uitsteken en drie driehoek die er rechts uitsteken en hij staan op een plateau 
B: 	oké ik hebben die die met die drie boll aan de zijkant aan allebei de kant 
B: 	ja 
A: 	ja dan weten ik welk je bedoelen 
A: 	met het rond plateautje aan de voorkant 
A: 	ja 
A: 	dat zijn elf 
B: 	oké 
B: 	ja 
B: 	dat zijn P 
A: 	dit zijn met die uitsteeksel links en rechts die drie driehoek 
A: 	dus links drie en rechts drie 
B: 	dat zijn staan ze op dezelfde plek 
B: 	oké ik hebben die met die drie gelijk kra aan de buitenkant 
B: 	ja 
A: 	met dat rond plateautje ervoor 
A: 	ja dat zijn nummer negen 
B: 	ja 
B: 	oké 
B: 	dat zijn L 
A: 	dit zijn de figuur met die drie driehoek aan de linkerkant die uitsteken en aan de rechterkant ook 
A: 	hij staan op een plateau dat zijn eigenlijk de enig die op een plateau staan 
