B: 	dit zijn die met die staart in principe van die ruit 
B: 	ja 
A: 	leuk ja zo van die ja ja ja 
A: 	ja nee dan weten ik hem 
A: 	dat zijn voor mij nummer vijf 
B: 	ja 
B: 	dat zijn J 
B: 	het zijn die met die staart of uitsteeksel met die ruit 
A: 	dit zijn met de de leuk raar oor zeggen maar 
A: 	als je de de Pippi Langkousharen of zo ik weten niet 
A: 	ja 
B: 	ja P 
A: 	ja nummer elf 
B: 	het zijn die met die staart of 
A: 	de de Pippi Langkous 
B: 	ja L 
A: 	ja nummer negen 
A: 	de Pippi Langkous 
