B: 	ok het zijn er één en aan de bovenkant zitten twee heel klein blok en voor de rest zitten er staan er eigenlijk niks op 
B: 	kunnen er eigenlijk maar één zijn die blok zijn even groot 
B: 	ja hij hebben zeggen maar soort van vierkant aan 
B: 	dat ja 
A: 	ja 
A: 	ja dat plaat gaan er wel doorheen dan toch 
A: 	ja 
A: 	ja ja ja 
A: 	oké dat zijn dan zes 
B: 	zegmaar die twin towers erop bij wijze van spreken met zo'n die iet die zegmaar een vierkant ding aanhebben C 
B: 	hij hebben zegmaar weer twee blok bovenop en hij hebben zo'n vierkan aan bij wijze van spreken 
A: 	dit zijn het ja het kop met op één drie van de onderkant zo'n vierkant plateau 
A: 	en aan de voorkant zo'n rond staaf 
A: 	aan de bovenkant twee van die punt en dan dat haak aan de rechterkant 
A: 	linkerkant trouwens 
A: 	ja 
B: 	even kijken J 
A: 	ja 
A: 	dat zijn dertien 
B: 	met die tutu en die twin Towers 
A: 	dit zijn die met dat horizontaal vierkan ja door de helft net 
A: 	en dan die twee punt bovenop dat gehaakken dinge aan de en die rond staaf voorkant 
B: 	die tutu 
B: 	N 
A: 	ja 
A: 	met die haak 
A: 	dat zijn negen 
A: 	dit zijn die met die plateau door het midden met die twee punt boven haak 
