B: 	oeh dit zijn een lastig 
B: 	dit zijn een heel klein 
B: 	en weinig uitsteeksel maar er liggen een horizontaal balk bovenop 
B: 	ja 
A: 	een soort twee half lampenkapp 
A: 	oké 
A: 	ja 
A: 	ja 
A: 	dat zijn ik met je eens en daar inderdaad de de wat rond vormen boven smal breed onder 
A: 	ja en rechts kunnen je hem niet heel goed zien 
A: 	er zitten nog iets voor 
A: 	een soort de uitsteeksel aan de voorkant zijn ook een beetje driehoekachtig 
A: 	met nog een lichtblauw pinne 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	ja dat zijn dat zijn bij mij E 
B: 	dit zijn dat balkje dat erbovenop liggen en twee dinget aan de aan de zijkant onder 
B: 	ja dat zijn bij mij E 
A: 	oké de broodrooster brievenbus 
A: 	met al dan niet lampenkapp 
B: 	dit zijn die heel compact met dat balkje op het erbovenop horizontaal 
B: 	ja 
A: 	ja 
A: 	ja hebbes nummer één 
B: 	balk met twee voet O 
A: 	de broodrooster 
A: 	nummer zestien 
A: 	brievenbus 
A: 	en broodrooster 
A: 	ja 
