B: 	ja één lijken wel een projectie van een beamer zeggen maar 
B: 	zullen het kunnen zijn 
B: 	ja oké 
B: 	tafel aan de rechts kant ja dat zijn bij mij zijn dat L 
B: 	dan deze weer met die die die rond verrekijker aan de zijkant met die beamerprojectie naar achter 
B: 	en dat tafel aan de rechts kant 
A: 	koffiekopje 
A: 	met iets rechts aan de voorkant een schuin omhoog klein uitsteeksel met daarop een rond vlak 
A: 	en links een uitsteeksel dat met een beetje fantasie op een oor lijken maar dan flink 
A: 	uitgetrokken en daarbovenop staan een één ja soort obelisk omgekeerd hken erin 
A: 	ja 
B: 	ja zijn bij mij C 
A: 	ja 
A: 	nummer zeven 
B: 	dit zijn met de beamerstraal 
A: 	het koffiekopje met rond dienblad met een oor 
A: 	en een ding erin 
B: 	ja dat zijn bij mij A 
B: 	de beamerprojectie 
A: 	ja even zoeken waar zijn je ? waar zijn je ? waar zijn je ? ja 
A: 	en dat zijn nummer één 
A: 	het oor 
A: 	het oor het oor het oor 
A: 	ja 
A: 	dertien 
