A: 	even kijken dit plaat hebben aan de rechterkant een rond uitsteeksel alsof het een soort loep zijn 
A: 	en aan de linkerkant komen er een soort Pacmanvormig figuur uit en daar komen dan nog één ja wat zijn het een soort 
A: 	ja ja die komen er dan nog vanuit dat uitsteeksel komen die dan nog omhoog zeggen maar 
B: 	nee 
B: 	ja 
B: 	oké 
B: 	ja 
B: 	ik zien het het zijn L 
B: 	nou het zijn weer het beker met die omgekeerd bank en die nagel erin 
A: 	ja 
A: 	nummer zeven 
B: 	oké 
A: 	dit zijn je bleekselderij 
A: 	met aan de 
A: 	ja 
B: 	C 
B: 	C 
A: 	ja 
A: 	nummer één 
B: 	het zijn de de de de spijkerbank weer 
A: 	en dit zijn de bleekselderij met het plateaut aan de rechterkant 
B: 	ja 
B: 	zijn A 
A: 	dertien 
B: 	het zijn de bank met de met de spijker 
