B: 	die snapen ik niet helemaal 
A: 	oké deze hebben allemaal ja raar uitsteeksel 
B: 	o 
A: 	met een beetje een ovaal uitsteeksel zoals jij zeggen van die mok dus de bovenaan de mok 
B: 	o het zijn het zien zien het eruit als een theekop 
A: 	en een ovaal uitsteeksel linksvoor 
B: 	ja 
A: 	en dan hebben die een soort van blok die dan steeds groot worden aan de rechterkant en een soort van slurf Linksachter 
B: 	ja dan zijn het E 
A: 	hij hebben in totaal vier uitsteeksel 
A: 	nee 
A: 	nee 
A: 	ja 
A: 	ja ja 
A: 	ja die 
B: 	ja dit zijn dat theekanne zeggen maar met het lepeltje eruit en die vierkant die steeds klein worden 
B: 	ja er zitten zeggen maar zo'n tui aan de een kant zo'n lepel achtig ding in en er zitten nog iets aan de voorkant 
B: 	ze gaan zeggen maar naar het object toe 
B: 	ja 
B: 	ja er zitten nog één ding erboven in en één ding aan de voorkant op en zitten nog één zeggen maar soort van tuitje aan de achterkant 
A: 	ah 
A: 	oké ja ik weten welk je bedoelen maar ik moeten hem even zoeken 
A: 	ah ja 
A: 	oké 
A: 	dat zijn nummer elf 
B: 	zeggen maar die theepot die beetje zo lopen met dat tui 
B: 	ok dan zijn het J 
B: 	ja dit zijn die theekan met die vierkant die klein worden aan de zijkant 
B: 	één lepel bovenin 
B: 	bij mij staan hij rechtsonder maar ik weten niet 
B: 	ja maar dan zijn het er maar één en hij hebben zeggen maar zo'n groot ja rond ding aan de bovenkant en aan de voorkant ook nog één 
A: 	dat zijn met die vier uitsteeksel dat slurfje en die legoblokjes 
B: 	ja dat zijn B 
A: 	ja even kijken waar die staan 
A: 	ah dat zijn nummer negen 
B: 	dit zijn het theeko met die vierkant die klein worden 
A: 	dit zijn met al die uitsteeksel dus met die legoblok en die slurf 
A: 	even kijken waar die staan 
A: 	ah nummer vier 
