B: 	de paal zitten aan de voorkant van het ding 
B: 	oké dan zijn dat nummer D 
B: 	en hij hebben ook nog twee armp 
B: 	oké ja dat zijn D 
A: 	oké bij mij zijn het ik denken dat het een soort van waterpomp zijn maar het zijn een één de basisvorm met dan een soort van vierkant staaf aan de aan de rechtsvoor 
A: 	en dan liggen er een ei bovenop 
A: 	en dan twee van die soort van ding of zo waar je handvaet wat het ook zijn 
A: 	ja 
B: 	dit zijn die met het ei erbovenop en dan de balk aan de voorkant 
A: 	ja de de pomp 
A: 	met die met dat ei wat erbovenop liggen 
A: 	ja ja dat zijn bij mij vijftien 
B: 	ja L 
B: 	het zijn die met die stok aan de voorkant die verticaal paal 
B: 	en een balle erbovenop 
A: 	dit zijn de pomp 
A: 	met dat ei wat erbovenop liggen met die staaf waar die eigenlijk aan lijken te hangen of zo 
B: 	J 
A: 	ja de de pomp 
A: 	ja 
A: 	ja ja met het ei wat erbovenop liggen 
A: 	nummer zes 
B: 	het zijn die met die paal ervoor 
B: 	paal 
B: 	sorry ik kunnen niet praten 
A: 	dit zijn de waterpomp zeggen maar met het ei wat erbovenop liggen en dan die twee ding die eruit komen 
A: 	ja nummer drie 
